,name,jun,url,score,dinner,lunch
93,なつ家,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13025705/,3.41, 4000 4999,- -
94,さかなさま 北千住本店,魚介料理・海鮮料理,https://tabelog.com/tokyo/A1324/A132402/13049328/,3.4, 5000 5999,0 999
95,一歩一歩（いっぽいっぽ）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13039299/,3.4, 4000 4999,- -
96,イタリアンバル　2538（ニコミヤ）,イタリアン,https://tabelog.com/tokyo/A1324/A132402/13182249/,3.4, 3000 3999, 1000 1999
97,喫茶 蔵（きっさ くら）,カフェ,https://tabelog.com/tokyo/A1324/A132402/13020899/,3.4,- -,0 999
98,洋食堂（ヨウショクドウ）,イタリアン,https://tabelog.com/tokyo/A1324/A132402/13055811/,3.4, 3000 3999, 4000 4999
99,旬菜料理 きわ,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13020791/,3.4, 3000 3999,0 999
100,シチュー屋（しちゅーや）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13016925/,3.39, 4000 4999,- -
101,惣菜かざま,デリカテッセン,https://tabelog.com/tokyo/A1324/A132402/13109969/,3.39, 1000 1999,0 999
102,はりや総本店（はりや そうほんてん）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13034872/,3.39, 3000 3999,- -
103,ハノイハノイ（HANOI&HANOI）,ベトナム料理,https://tabelog.com/tokyo/A1324/A132402/13090179/,3.39, 3000 3999, 2000 2999
104,タピルージュ（tapis rouge）,フレンチ,https://tabelog.com/tokyo/A1324/A132402/13032431/,3.39, 6000 7999, 2000 2999
105,マメココロ,コーヒー専門店,https://tabelog.com/tokyo/A1324/A132402/13186985/,3.39,- -,0 999
106,ビストロウエハラ,フレンチ,https://tabelog.com/tokyo/A1324/A132402/13214415/,3.39, 6000 7999, 2000 2999
107,泊舟（はくしゅう）,懐石・会席料理,https://tabelog.com/tokyo/A1324/A132402/13009128/,3.39, 4000 4999, 2000 2999
108,千住ホルモン（センジュホルモン）,ホルモン,https://tabelog.com/tokyo/A1324/A132402/13043071/,3.38, 2000 2999,- -
109,オステリア ヨシ（osteria YOSHI）,イタリアン,https://tabelog.com/tokyo/A1324/A132402/13100650/,3.38, 3000 3999, 1000 1999
110,ごっつり,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13091937/,3.38, 2000 2999, 1000 1999
111,北千住　おすしやさんの家　たなか,寿司,https://tabelog.com/tokyo/A1324/A132402/13110207/,3.38, 5000 5999, 6000 7999
112,魚料理 星丸くん,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13049444/,3.38,- -, 1000 1999
113,日本酒宿七色,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13119545/,3.38, 6000 7999,0 999
114,九龍酒樓（カオルンシュロウ ）,中華料理,https://tabelog.com/tokyo/A1324/A132402/13092004/,3.38, 3000 3999, 3000 3999
115,東池袋大勝軒 ○高屋（まるたかや）,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13090584/,3.37,0 999,0 999
116,柳麺マタドール,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13273482/,3.37, 1000 1999, 1000 1999
117,ビストロタケ（BISTRO TAKE）,ビストロ,https://tabelog.com/tokyo/A1324/A132402/13167502/,3.37,- -, 1000 1999
118,一初（いちはつ）,沖縄料理,https://tabelog.com/tokyo/A1324/A132402/13009070/,3.37, 3000 3999,0 999
119,ひむろ 北千住店,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13157724/,3.36,0 999,0 999
